,tweet_id,rating_numerator,rating_denominator,name,status,favorite_count,retweet_count,retweeted
995,684940049151070208,12.0,10,Oreo,,3508,1185,False
996,684926975086034944,11.0,10,,,3836,548,False
997,684902183876321280,11.0,10,Perry,,2041,603,False
998,684800227459624960,11.0,10,Theodore,,2961,1114,False
999,684594889858887680,10.0,10,,,9807,3993,False
1000,684538444857667585,12.0,10,,,2902,1082,False
1001,684481074559381504,10.0,10,Pippa,,4233,1315,False
1002,684460069371654144,10.0,10,Jeph,,2163,627,False
1003,684241637099323392,12.0,10,Obi,,8956,3711,False
1004,684225744407494656,11.0,10,,pupper,1361,239,False
1005,684222868335505415,11.0,10,,pupper,4198,1554,False
1006,684195085588783105,9.0,10,Tino,,2096,593,False
1007,684188786104872960,10.0,10,,,3810,1336,False
1008,684177701129875456,10.0,10,Kulet,,2206,762,False
1009,684097758874210310,10.0,10,Lupe,,4496,1616,False
1010,683857920510050305,10.0,10,Sadie,pupper,4146,1260,False
1011,683852578183077888,10.0,10,Tiger,,2099,395,False
1012,683834909291606017,9.0,10,,pupper,2865,1256,False
1013,683828599284170753,12.0,10,,pupper,3036,1189,False
1014,683773439333797890,9.0,10,Buddy,,3667,1526,False
1015,683742671509258241,11.0,10,Sebastian,,7129,3756,False
1016,683498322573824003,11.0,10,Griffin,,3454,1088,False
1017,683481228088049664,11.0,10,Banjo,pupper,2867,1112,False
1018,683462770029932544,8.0,10,,pupper,2672,760,False
1019,683449695444799489,10.0,10,,,4270,1820,False
1020,683391852557561860,11.0,10,,,8307,2690,False
1021,683357973142474752,10.0,10,,,3221,1059,False
1022,683142553609318400,9.0,10,Brandy,pupper,3150,1170,False
1023,683111407806746624,10.0,10,Larry,pupper,3723,1029,False
1024,683098815881154561,12.0,10,,,2351,734,False
1025,683030066213818368,10.0,10,Lulu,,2358,826,False
1026,682750546109968385,9.0,10,Taco,,1665,491,False
1027,682662431982772225,11.0,10,,,3316,1201,False
1028,682638830361513985,12.0,10,,,2254,674,False
1029,682429480204398592,8.0,10,,,3752,1311,False
1030,682393905736888321,11.0,10,Kreg,,2426,769,False
1031,682389078323662849,9.0,10,Brody,,1818,516,False
1032,682259524040966145,9.0,10,Jax,,4561,1372,False
1033,682032003584274432,11.0,10,Ulysses,,7195,2278,False
1034,681981167097122816,12.0,10,Jimothy,,3026,1158,False
1035,681891461017812993,10.0,10,Charlie,pupper,2696,948,False
